[Sun Jan 08 17:59:06.906918 2023] [:error] [pid 2077] [client 172.18.0.1:60362] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.916789 2023] [:error] [pid 2283] [client 172.18.0.1:60346] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.917237 2023] [:error] [pid 2283] [client 172.18.0.1:60346] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.930350 2023] [:error] [pid 2283] [client 172.18.0.1:60346] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.931029 2023] [:error] [pid 2283] [client 172.18.0.1:60346] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.934550 2023] [:error] [pid 2077] [client 172.18.0.1:60362] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:06.935171 2023] [:error] [pid 2077] [client 172.18.0.1:60362] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:07.019327 2023] [:error] [pid 2077] [client 172.18.0.1:60362] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:07.019869 2023] [:error] [pid 2077] [client 172.18.0.1:60362] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:07.158627 2023] [:error] [pid 2077] [client 172.18.0.1:60362] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:07.159250 2023] [:error] [pid 2077] [client 172.18.0.1:60362] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:07.163214 2023] [:error] [pid 2283] [client 172.18.0.1:60346] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:07.163722 2023] [:error] [pid 2283] [client 172.18.0.1:60346] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:07.168152 2023] [:error] [pid 2081] [client 172.18.0.1:60396] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:07.168514 2023] [:error] [pid 2081] [client 172.18.0.1:60396] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:07.174571 2023] [:error] [pid 2283] [client 172.18.0.1:60346] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:07.174979 2023] [:error] [pid 2283] [client 172.18.0.1:60346] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:07.180088 2023] [:error] [pid 2081] [client 172.18.0.1:60396] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:07.180595 2023] [:error] [pid 2081] [client 172.18.0.1:60396] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:07.185132 2023] [:error] [pid 2283] [client 172.18.0.1:60346] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:07.185533 2023] [:error] [pid 2283] [client 172.18.0.1:60346] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:07.190566 2023] [:error] [pid 2081] [client 172.18.0.1:60396] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:59:07.190987 2023] [:error] [pid 2081] [client 172.18.0.1:60396] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:59:07.195537 2023] [:error] [pid 2283] [client 172.18.0.1:60346] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
